,날짜,시가,고점,저점,종가,거래량,증감,종가-시가,최대-최소
50,"Mar04,2020",1359.23,1388.09,1343.11,1386.52,1913300.0,0,27.289999999999964,44.98000000000002
51,"Mar05,2020",1350.2,1358.91,1305.1,1319.04,2561300.0,1,31.160000000000082,53.81000000000017
52,"Mar06,2020",1277.06,1306.22,1261.05,1298.41,2660600.0,1,21.350000000000136,45.17000000000007
53,"Mar09,2020",1205.3,1254.76,1200.0,1215.56,3365400.0,0,10.259999999999991,54.75999999999999
54,"Mar10,2020",1260.0,1281.15,1218.77,1280.39,2611400.0,1,20.3900000000001,62.38000000000011
55,"Mar11,2020",1249.7,1260.96,1196.07,1215.41,2608500.0,0,34.289999999999964,64.8900000000001
56,"Mar12,2020",1126.0,1193.87,1113.3,1114.91,4226700.0,0,11.089999999999918,80.56999999999994
57,"Mar13,2020",1179.0,1219.76,1117.14,1219.73,3700100.0,1,40.73000000000002,102.61999999999989
58,"Mar16,2020",1096.0,1152.27,1074.44,1084.33,4252400.0,1,11.670000000000073,77.82999999999993
59,"Mar17,2020",1093.11,1130.86,1056.01,1119.8,3861500.0,0,26.690000000000055,74.84999999999991
60,"Mar18,2020",1056.51,1106.5,1037.28,1096.8,4233400.0,0,40.289999999999964,69.22000000000003
61,"Mar19,2020",1093.05,1157.97,1060.11,1115.29,3651100.0,1,22.24000000000001,97.86000000000013
62,"Mar20,2020",1135.72,1143.99,1065.49,1072.32,3601800.0,0,63.40000000000009,78.5
63,"Mar23,2020",1061.32,1071.32,1013.54,1056.62,4044100.0,1,4.7000000000000455,57.77999999999997
64,"Mar24,2020",1103.77,1135.0,1090.62,1134.46,3344500.0,1,30.690000000000055,44.38000000000011
65,"Mar25,2020",1126.47,1148.9,1086.01,1102.49,4081500.0,1,23.980000000000018,62.8900000000001
66,"Mar26,2020",1111.8,1169.97,1093.53,1161.75,3571700.0,1,49.950000000000045,76.44000000000005
67,"Mar27,2020",1125.67,1150.67,1105.91,1110.71,3208500.0,0,14.960000000000036,44.75999999999999
68,"Mar30,2020",1125.04,1151.63,1096.48,1146.82,2574100.0,1,21.779999999999973,55.15000000000009
69,"Mar31,2020",1147.3,1175.31,1138.14,1162.81,2486400.0,1,15.509999999999991,37.169999999999845
70,"Apr01,2020",1122.0,1129.69,1097.45,1105.62,2344200.0,1,16.38000000000011,32.24000000000001
